Id|AirlineCode|AirlineName|AirlineFullName|AirlineType
321|E3|DOMODEDOVO AIRLINES|DOMODEDOVO AIRLINES|
322|E4|ELYSIAN AIRLINES|ELYSIAN AIRLINES|
323|E5|AIR ARABIA EGYPT|AIR ARABIA EGYPT|
324|E6|AVIAEXPRESSCRUISE AIRLINE|AVIAEXPRESSCRUISE AIRLINE|
325|E8|U.S. AFRICA AIRWAYS|U.S. AFRICA AIRWAYS|
326|E9|BOSTON MAINE AIRWAYS|BOSTON MAINE AIRWAYS|
327|EA|EUROPEAN AIR EXPRESS|EUROPEAN AIR EXPRESS|
328|EB|AIR PULLMANTUR|AIR PULLMANTUR|
329|EC|AVIALEASING AVIATION COMPANY|AVIALEASING AVIATION COMPANY|
330|ED|AIR DOMINICANA|AIR DOMINICANA|
331|EE|AERO AIRLINES A.S|AERO AIRLINES A.S|
332|EF|STRATEGIC AIRLINES|STRATEGIC AIRLINES|
333|EG|ENERJET|ENERJET|
334|EH|AIR NIPPON NETWORK|AIR NIPPON NETWORK|
335|EI|AER LINGUS IRISH AIRLINES|AER LINGUS IRISH AIRLINES|
336|EJ|NEW ENGLAND AIRLINES|NEW ENGLAND AIRLINES|
337|EK|EMIRATES|EMIRATES|
338|EL|AIR NIPPON|AIR NIPPON|
339|EM|AERO BENIN|AERO BENIN|
340|EN|AIR DOLOMITI|AIR DOLOMITI|
341|EO|HEWA BORA AIRWAYS|HEWA BORA AIRWAYS|
342|EP|IRAN ASEMAN AIRLINES|IRAN ASEMAN AIRLINES|
343|EQ|TAME|TAME|
344|ER|DHL AIRWAYS|DHL AIRWAYS|
345|ET|ETHIOPIAN AIRLINES|ETHIOPIAN AIRLINES|
346|EU|UNITED EAGLE AIRLINES|UNITED EAGLE AIRLINES|
347|EV|ATLANTIC SOUTHEAST AIRLINES|ATLANTIC SOUTHEAST AIRLINES|
348|EW|EUROWINGS|EUROWINGS|
349|EX|AIR SANTO DOMINGO|AIR SANTO DOMINGO|
350|EY|ETIHAD AIRWAYS|ETIHAD AIRWAYS|
351|EZ|SUN AIR OF SCANDINAVIA|SUN AIR OF SCANDINAVIA|
352|F4|ALBARKA AIR SERVICES|ALBARKA AIR SERVICES|
353|F5|COSMIC AIR|COSMIC AIR|
354|F6|FIRST CAMBODIA AIRLINES|FIRST CAMBODIA AIRLINES|
355|F7|DARWIN AIRLINE SA|DARWIN AIRLINE SA|
356|F8|FREEDOM AIRLINES|FREEDOM AIRLINES|
357|F9|FRONTIER AIRLINES|FRONTIER AIRLINES|
358|FA|AIRLINK AIRWAYS LIMITED|AIRLINK AIRWAYS LIMITED|
359|FB|BULGARIA AIR|BULGARIA AIR|
360|FC|FINNCOMM AIRLINES|FINNCOMM AIRLINES|
361|FD|AIRASIA|THAI AIRASIA|
362|FF|TOWER AIR|TOWER AIR|
363|FG|ARIANA AFGHAN AIRLINES|ARIANA AFGHAN AIRLINES|
364|FH|FUTURA INTERNATIONAL AIRLINES|FUTURA INTERNATIONAL AIRLINES|
365|FI|ICELANDAIR|ICELANDAIR|
366|FJ|AIR PACIFIC|AIR PACIFIC|
367|FK|KEEWATIN AIR|KEEWATIN AIR|
